averageDistanceVariability,distribSd,finalTime,gravityDecay,nwClustCoef,nwComponents,nwInDegree,nwMeanFlow,nwOutDegree,overlapThreshold,relativeCost,totalCost,totalWaste,transportationCost
15.0,0.1,100.0,10.0,0.01818181818181818,10.0,1.08,0.530301851851851,1.08,0.05,1.3187987139668351,0.6593993569834176,0.42727399999999954,0.5
15.0,0.1,100.0,10.0,0.00909090909090909,8.0,1.12,0.5785749999999995,1.12,0.05,1.5144603446832672,0.7572301723416338,0.3519959999999997,0.5
15.0,0.1,100.0,10.0,0.0,9.0,1.04,0.5812307692307688,1.04,0.05,1.8517895029268352,0.9258947514634175,0.39551999999999987,0.5
15.0,0.1,100.0,10.0,0.025757575757575764,6.0,1.44,0.45912083333333276,1.44,0.05,2.6216892060479116,1.310844603023956,0.338866,0.5
15.0,0.1,100.0,10.0,0.01818181818181818,7.0,1.28,0.5237890624999995,1.28,0.05,1.9512093929936165,0.9756046964968084,0.3295499999999997,0.5
15.0,0.1,100.0,10.0,0.0,7.0,1.1,0.549238181818181,1.1,0.05,1.915544606155497,0.9577723030777486,0.3958379999999998,0.5
15.0,0.1,100.0,10.0,0.01515151515151515,6.0,1.56,0.4673038461538455,1.56,0.05,2.914086447703237,1.4570432238516184,0.27100599999999975,0.5
15.0,0.1,100.0,10.0,0.0,7.0,1.18,0.5942203389830498,1.18,0.05,2.120782400851441,1.0603912004257205,0.29881999999999986,0.5
15.0,0.1,100.0,10.0,0.02727272727272727,7.0,1.18,0.5815542372881349,1.18,0.05,2.160638647465809,1.0803193237329043,0.31376599999999966,0.5
15.0,0.1,100.0,10.0,0.021212121212121213,7.0,1.62,0.44500740740740696,1.62,0.05,1.9197148820886556,0.959857441044328,0.27908799999999995,0.5
15.0,0.1,100.0,10.0,0.04545454545454545,6.0,1.64,0.4565182926829264,1.64,0.05,2.5131504816309187,1.2565752408154596,0.25130999999999987,0.5
15.0,0.1,100.0,10.0,0.01818181818181818,7.0,1.08,0.637516666666666,1.08,0.05,2.3218963872824117,1.1609481936412058,0.31148199999999965,0.5
15.0,0.1,100.0,10.0,0.0,9.0,1.12,0.5571499999999993,1.12,0.05,1.908402702557734,0.9542013512788668,0.3759919999999999,0.5
15.0,0.1,100.0,10.0,0.03181818181818182,6.0,1.66,0.4582469879518068,1.66,0.05,2.1890845861699995,1.094542293085,0.23930999999999997,0.5
15.0,0.1,100.0,10.0,0.00909090909090909,7.0,1.12,0.5294482142857133,1.12,0.05,1.8451365431676763,0.9225682715838378,0.4070179999999997,0.5
15.0,0.1,100.0,10.0,0.0,6.0,1.32,0.5433939393939388,1.32,0.05,2.881475093018378,1.4407375465091883,0.28271999999999997,0.5
15.0,0.1,100.0,10.0,0.00909090909090909,9.0,1.14,0.5921649122807011,1.14,0.05,2.4482731246790888,1.2241365623395446,0.3249319999999998,0.5
15.0,0.1,100.0,10.0,0.0,8.0,1.12,0.5958071428571422,1.12,0.05,2.070856434278757,1.0354282171393785,0.3326959999999998,0.5
15.0,0.1,100.0,10.0,0.0,6.0,1.44,0.45907499999999946,1.44,0.05,1.9087650755743961,0.9543825377871981,0.33893199999999973,0.5
15.0,0.1,100.0,10.0,0.00909090909090909,9.0,1.16,0.5606517241379304,1.16,0.05,1.3960977385209046,0.6980488692604518,0.34964399999999984,0.5
15.0,0.1,100.0,10.0,0.0303030303030303,6.0,1.48,0.45095675675675634,1.48,0.05,2.0350194933326478,1.0175097466663237,0.3325839999999998,0.5
15.0,0.1,100.0,10.0,0.0030303030303030303,9.0,1.16,0.5791793103448271,1.16,0.05,1.7920147684343881,0.896007384217194,0.3281519999999999,0.5
15.0,0.1,100.0,10.0,0.0,7.0,1.1,0.58234909090909,1.1,0.05,1.9634095019137943,0.9817047509568972,0.35941599999999974,0.5
