averageDistanceVariability,distribSd,finalTime,gravityDecay,nwClustCoef,nwComponents,nwInDegree,nwMeanFlow,nwOutDegree,overlapThreshold,relativeCost,totalCost,totalWaste,transportationCost
2.0,0.1,100.0,10.0,0.038181818181818185,8.0,1.68,0.4995964285714279,1.68,0.025,1.6019192776962028,0.800959638848102,0.16067800000000002,0.5
12.0,0.1,100.0,10.0,0.0,8.0,1.14,0.5966508771929815,1.14,0.125,1.2372928711395499,4.330525048988423,0.31981799999999966,3.5
2.0,0.1,100.0,10.0,0.03636363636363636,8.0,1.66,0.5187638554216861,1.66,0.025,1.5867731890033212,0.7933865945016608,0.13885200000000003,0.5
12.0,0.1,100.0,10.0,0.0,23.0,0.64,0.735424999999999,0.64,0.125,1.1431569277192812,4.001049247017483,0.5293279999999995,3.5
2.0,0.1,100.0,10.0,0.04848484848484849,7.0,1.82,0.45094175824175753,1.82,0.025,1.9745276494763084,0.9872638247381545,0.179286,0.5
12.0,0.1,100.0,10.0,0.0,9.0,1.04,0.6005807692307684,1.04,0.125,1.714355764992511,6.00024517747379,0.3753959999999998,3.5
2.0,0.1,100.0,10.0,0.022727272727272728,8.0,1.62,0.5168320987654311,1.62,0.025,1.9208870179393505,0.9604435089696756,0.162732,0.5
12.0,0.1,100.0,10.0,0.0,15.0,0.92,0.6430782608695643,0.92,0.125,1.298179537776613,4.543628382218145,0.4083679999999996,3.5
2.0,0.1,100.0,10.0,0.13181818181818183,8.0,1.9,0.43474210526315743,1.9,0.025,1.7741033202924525,0.8870516601462264,0.17399,0.5
12.0,0.1,100.0,10.0,0.0,23.0,0.64,0.6961687499999992,0.64,0.125,0.9537483209407772,3.338119123292721,0.5544519999999995,3.5
2.0,0.1,100.0,10.0,0.09242424242424242,9.0,1.82,0.47267472527472454,1.82,0.025,1.3936743160981868,0.6968371580490934,0.13973200000000005,0.5
12.0,0.1,100.0,10.0,0.0,13.0,1.0,0.6877679999999994,1.0,0.125,1.6975110049577233,5.941288517352031,0.3122319999999997,3.5
2.0,0.1,100.0,10.0,0.06666666666666667,7.0,1.66,0.5149939759036136,1.66,0.025,1.8124705155517267,0.9062352577758632,0.14511000000000002,0.5
12.0,0.1,100.0,10.0,0.0,10.0,1.02,0.6079156862745091,1.02,0.125,1.38731492994612,4.85560225481142,0.37992599999999954,3.5
2.0,0.1,100.0,10.0,0.07363636363636364,7.0,1.84,0.44817065217391244,1.84,0.025,1.4256542327976809,0.7128271163988407,0.175366,0.5
12.0,0.1,100.0,10.0,0.0,22.0,0.66,0.7386060606060598,0.66,0.125,1.1524652131584778,4.033628246054673,0.5125199999999994,3.5
2.0,0.1,100.0,10.0,0.09212121212121212,8.0,1.86,0.47091075268817134,1.86,0.025,1.741400078645344,0.8707000393226716,0.12410600000000006,0.5
12.0,0.1,100.0,10.0,0.0,23.0,0.64,0.7395437499999988,0.64,0.125,0.7983994704858922,2.794398146700623,0.5266919999999993,3.5
2.0,0.1,100.0,10.0,0.057878787878787884,7.0,1.86,0.4436462365591392,1.86,0.025,1.9066329190645595,0.9533164595322802,0.17481799999999997,0.5
12.0,0.1,100.0,10.0,0.0,10.0,1.02,0.6540725490196072,1.02,0.125,1.486176996068628,5.201619486240199,0.3328459999999997,3.5
12.0,0.1,100.0,10.0,0.0,22.0,0.66,0.7198909090909081,0.66,0.125,1.0042243086159652,3.514785080155879,0.5248719999999991,3.5
2.0,0.1,100.0,10.0,0.054545454545454536,6.0,1.9,0.43219999999999925,1.9,0.025,2.1028837161855254,1.0514418580927627,0.17881999999999987,0.5
12.0,0.1,100.0,10.0,0.00909090909090909,10.0,1.08,0.5995277777777771,1.08,0.125,1.269573818799462,4.443508365798117,0.3525099999999996,3.5
2.0,0.1,100.0,10.0,0.08536796536796537,8.0,1.92,0.4336218749999994,1.92,0.025,1.7504746885029199,0.87523734425146,0.16744599999999998,0.5
12.0,0.1,100.0,10.0,0.0,27.0,0.56,0.7468535714285702,0.56,0.125,1.2246693120657235,4.286342592230033,0.5817619999999993,3.5
2.0,0.1,100.0,10.0,0.030303030303030304,8.0,1.64,0.48854024390243833,1.64,0.025,1.7855265528012794,0.8927632764006396,0.19879399999999994,0.5
12.0,0.1,100.0,10.0,0.0,23.0,0.64,0.6967281249999989,0.64,0.125,1.0497772932213758,3.674220526274814,0.5540939999999994,3.5
2.0,0.1,100.0,10.0,0.02909090909090909,7.0,1.6,0.5145862499999994,1.6,0.025,1.8604050222720991,0.9302025111360496,0.17666199999999999,0.5
12.0,0.1,100.0,10.0,0.0,14.0,0.92,0.657384782608695,0.92,0.125,1.862085980539178,6.517300931887118,0.39520599999999967,3.5
2.0,0.1,100.0,10.0,0.1496969696969697,9.0,1.98,0.42758888888888824,1.98,0.025,1.7536412190757664,0.8768206095378831,0.15337399999999998,0.5
2.0,0.1,100.0,10.0,0.12727272727272726,8.0,1.98,0.4300757575757568,1.98,0.025,1.5726725662868302,0.786336283143415,0.14845,0.5
12.0,0.1,100.0,10.0,0.0,7.0,1.08,0.5766351851851845,1.08,0.125,1.5090411905643049,5.281644166975066,0.3772339999999997,3.5
12.0,0.1,100.0,10.0,0.00909090909090909,9.0,1.1,0.5788290909090903,1.1,0.125,1.3340417477707578,4.669146117197652,0.3632879999999997,3.5
2.0,0.1,100.0,10.0,0.07303030303030304,8.0,1.88,0.46513297872340353,1.88,0.025,1.6114268919667083,0.8057134459833544,0.12555000000000002,0.5
12.0,0.1,100.0,10.0,0.0,22.0,0.66,0.6710484848484837,0.66,0.125,1.043771645868767,3.6532007605406847,0.5571079999999995,3.5
2.0,0.1,100.0,10.0,0.07575757575757576,6.0,1.98,0.43579191919191845,1.98,0.025,1.5699354168653188,0.7849677084326594,0.13713199999999998,0.5
12.0,0.1,100.0,10.0,0.0,25.0,0.6,0.7070299999999989,0.6,0.125,0.8360881322636637,2.926308462922822,0.5757819999999995,3.5
2.0,0.1,100.0,10.0,0.06363636363636363,9.0,1.64,0.48796219512195055,1.64,0.025,1.6057780055872917,0.8028890027936461,0.19974199999999998,0.5
12.0,0.1,100.0,10.0,0.00909090909090909,9.0,1.12,0.604482142857142,1.12,0.125,1.467087490489314,5.1348062167126,0.32297999999999966,3.5
2.0,0.1,100.0,10.0,0.05151515151515152,8.0,1.9,0.4582463157894729,1.9,0.025,1.56133109720917,0.7806655486045851,0.129332,0.5
12.0,0.1,100.0,10.0,0.0,12.0,1.0,0.5973879999999994,1.0,0.125,0.9526435927766076,3.3342525747181258,0.4026119999999997,3.5
2.0,0.1,100.0,10.0,0.10303030303030301,8.0,1.92,0.44673645833333264,1.92,0.025,1.9589294634134513,0.9794647317067259,0.14226599999999998,0.5
2.0,0.1,100.0,10.0,0.061515151515151516,9.0,1.74,0.4777252873563212,1.74,0.025,1.7516788608116447,0.8758394304058224,0.16875799999999994,0.5
15.0,0.1,100.0,10.0,0.00909090909090909,12.0,1.08,0.6091185185185176,1.08,0.0,1.6785840154236877,5.875044053982907,0.34215199999999973,3.5
