"","minc","minw","frontsize","frontdiff"
"1",0.751227674945733,0.605572,18,0.415420766333454
"2",0.751227674945733,0.592626,19,0.457665278970239
"3",0.705574797025501,0.592626,24,0.504229790193874
"4",0.646456483269641,0.592626,24,0.505300346904874
"5",0.0276216152979487,0.565756,36,0.706875953747699
"6",0.00915645497819984,0.565756,45,0.791055215574399
"7",0.00915645497819984,0.544115,47,0.778300968634352
"8",0.00915645497819984,0.544115,48,0.778314507310049
"9",0.0028391187124845,0.544115,54,0.790618369729879
"10",0.0028391187124845,0.544115,60,0.805861231275849
"11",0.0028391187124845,0.544115,61,0.801586618487582
"12",0,0.544115,69,0.79996175137359
"13",0,0.544115,66,0.777481274954265
"14",0,0.544115,77,0.749759704585672
"15",0,0.544115,79,0.698205097120643
"16",0,0.544115,79,0.664202566868281
"17",0,0.544115,79,0.664892798592775
"18",0,0.544115,80,0.670864262465838
"19",0,0.544115,81,0.676402643072038
"20",0,0.544115,82,0.665928587027164
"21",0,0.544115,85,0.656979824691232
"22",0,0.544115,83,0.659439633683974
"23",0,0.544115,83,0.659640017844411
"24",0,0.544115,83,0.658370981519407
"25",0,0.544115,83,0.657050505141043
"26",0,0.544115,86,0.656144787148976
"27",0,0.544115,87,0.660261483168319
"28",0,0.544115,92,0.662267144560818
"29",0,0.544115,96,0.661907989282361
"30",0,0.544115,105,0.653759758559759
"31",0,0.544115,105,0.641544409466618
"32",0,0.544115,106,0.640024789055338
"33",0,0.544115,106,0.638445142505744
"34",0,0.544115,106,0.638445142505744
"35",0,0.544115,106,0.639394861430792
"36",0,0.52897,107,0.649482662877839
"37",0,0.52897,109,0.655025168825225
"38",0,0.52897,109,0.649021962279072
"39",0,0.52897,111,0.64615838022055
"40",0,0.52897,112,0.641112694857284
"41",0,0.52897,112,0.639759496446791
"42",0,0.52897,112,0.642998745705598
"43",0,0.52897,112,0.64121733467987
"44",0,0.52897,112,0.639407074289983
"45",0,0.52897,120,0.630945402091071
"46",0,0.52897,117,0.614988720142608
"47",0,0.52897,118,0.610522687881721
"48",0,0.52897,121,0.610605042405109
"49",0,0.52897,124,0.619238048695269
"50",0,0.52897,122,0.632561318642742
"51",0,0.52897,122,0.634712061946957
"52",0,0.52897,122,0.634712061946957
"53",0,0.52897,123,0.641827388386874
"54",0,0.52897,125,0.656069309347482
"55",0,0.52897,125,0.663013185811426
"56",0,0.52897,124,0.66155849238273
"57",0,0.52897,124,0.6600162795545
"58",0,0.52897,127,0.659935435447043
"59",0,0.52897,127,0.659811691587168
"60",0,0.52897,127,0.659812029783128
"61",0,0.52897,127,0.659812292765971
"62",0,0.52897,127,0.659788949144781
"63",0,0.52897,128,0.656783692319647
"64",0,0.52897,128,0.653691816596283
"65",0,0.52897,128,0.654082433943444
"66",0,0.52897,128,0.654464997093236
"67",0,0.52897,129,0.654323495300254
"68",0,0.52897,130,0.655875125785723
"69",0,0.52897,126,0.661677715395338
"70",0,0.52897,129,0.666982978236057
"71",0,0.52897,130,0.674213501740728
"72",0,0.52897,130,0.679947318646597
"73",0,0.52897,130,0.679947318646597
"74",0,0.52897,129,0.68067430240153
"75",0,0.52897,129,0.681371572283585
"76",0,0.52897,129,0.681371572283585
"77",0,0.52897,129,0.681371572283585
"78",0,0.52897,129,0.681371572283585
"79",0,0.52897,130,0.683634337866921
"80",0,0.52897,130,0.685585769943412
"81",0,0.52897,130,0.685344393462029
"82",0,0.52897,130,0.685344393462029
"83",0,0.52897,131,0.682382571091007
"84",0,0.52897,131,0.67912628101538
"85",0,0.52897,139,0.673068862102868
"86",0,0.52897,139,0.666791146651447
"87",0,0.518852,138,0.657466050859704
"88",0,0.518852,138,0.647899263612775
"89",0,0.518852,138,0.647899263612775
"90",0,0.518852,138,0.647896028564179
"91",0,0.518852,138,0.64789267685811
"92",0,0.518852,138,0.647892422123839
"93",0,0.518852,138,0.647470212706517
"94",0,0.518852,136,0.648761064530855
"95",0,0.518852,136,0.650022068755268
"96",0,0.518852,136,0.649581463211189
"97",0,0.518852,136,0.649581463211189
"98",0,0.518852,136,0.649581463211189
"99",0,0.518852,137,0.649000458863799
"100",0,0.518852,137,0.647611604023876
"101",0,0.518852,137,0.6476057166775
"102",0,0.518852,137,0.647604007094081
"103",0,0.518852,145,0.647351472640123
"104",0,0.518852,146,0.647408125542363
"105",0,0.496986,147,0.646809481151755
"106",0,0.496986,149,0.643701376135923
"107",0,0.496986,150,0.641069331392964
"108",0,0.496986,150,0.640203823226622
"109",0,0.496986,150,0.640203823226622
"110",0,0.496986,152,0.638588260519654
